query,named_entity,type
Looking for more sad songs in the same vein as things like Funeral by Phoebe bridges Trapeze swing by iron and wine. Within the rose by Matthew and the atlas. Any suggestions for songs that got this mood?,funeral,WoA
Looking for more sad songs in the same vein as things like Funeral by Phoebe bridges Trapeze swing by iron and wine. Within the rose by Matthew and the atlas. Any suggestions for songs that got this mood?,phoebe bridges,Artist
Looking for more sad songs in the same vein as things like Funeral by Phoebe bridges Trapeze swing by iron and wine. Within the rose by Matthew and the atlas. Any suggestions for songs that got this mood?,trapeze swing,WoA
Looking for more sad songs in the same vein as things like Funeral by Phoebe bridges Trapeze swing by iron and wine. Within the rose by Matthew and the atlas. Any suggestions for songs that got this mood?,iron and wine,Artist
Looking for more sad songs in the same vein as things like Funeral by Phoebe bridges Trapeze swing by iron and wine. Within the rose by Matthew and the atlas. Any suggestions for songs that got this mood?,within the rose,WoA
Looking for more sad songs in the same vein as things like Funeral by Phoebe bridges Trapeze swing by iron and wine. Within the rose by Matthew and the atlas. Any suggestions for songs that got this mood?,matthew and the atlas,Artist
Rock bands with African themes/instruments?,,
Scott Pilgrim vs the World,scott pilgrim vs the world,WoA
Agressive french rap?,,
Coal Chamber: El Cu Cuy,el cu cuy,WoA
Coal Chamber: El Cu Cuy,coal chamber,Artist
anything similar to these I could check out?,,
Bands or artists who’s discography is so good I can go through it completely without being disappointed.,,
Help with a Indie Mixtape for a FWB that might turn into a relationship.,,
Bluesy songs kinda like evil woman by Black Sabbath,evil woman,WoA
Bluesy songs kinda like evil woman by Black Sabbath,black sabbath,Artist
melancholic and melodic,,
I need albums to listen to on a snowy night to feel like I’ve experienced a thousand years of wisdom by the end of the album.,,
"Songs similar to I took a pill in Ibiza (seeb remix), in the middle (dj snake), lush life (zara larsson), Be the one (dua lipa)",i took a pill in ibiza,WoA
"Songs similar to I took a pill in Ibiza (seeb remix), in the middle (dj snake), lush life (zara larsson), Be the one (dua lipa)",seeb,Artist
"Songs similar to I took a pill in Ibiza (seeb remix), in the middle (dj snake), lush life (zara larsson), Be the one (dua lipa)",in the middle,WoA
"Songs similar to I took a pill in Ibiza (seeb remix), in the middle (dj snake), lush life (zara larsson), Be the one (dua lipa)",dj snake,Artist
"Songs similar to I took a pill in Ibiza (seeb remix), in the middle (dj snake), lush life (zara larsson), Be the one (dua lipa)",lush life,WoA
"Songs similar to I took a pill in Ibiza (seeb remix), in the middle (dj snake), lush life (zara larsson), Be the one (dua lipa)",zara larsson,Artist
"Songs similar to I took a pill in Ibiza (seeb remix), in the middle (dj snake), lush life (zara larsson), Be the one (dua lipa)",be the one,WoA
"Songs similar to I took a pill in Ibiza (seeb remix), in the middle (dj snake), lush life (zara larsson), Be the one (dua lipa)",dua lipa,Artist
"Any modern bands from 2010s inspired by Curve, with a female vocalist, faster pop-rock hooks, soaring choruses and atmospheric wall of guitars?",curve,Artist
Techno remixes,,
Looking for songs like Drunk Walk Home by Mitski,drunk walk home,WoA
Looking for songs like Drunk Walk Home by Mitski,mitski,Artist
Fun rock music,,
Suggest me new exiting music!,,
Speed music,,
Songs perfect for Guardians of the Galaxy,guardians of the galaxy,WoA
Songs about losing a friend,,
Something like Ten Feet by Curio,ten feet,WoA
Something like Ten Feet by Curio,curio,Artist
"Songs like ""Spottieottiedopaliscious"" by outcast",spottieottiedopaliscious,WoA
"Songs like ""Spottieottiedopaliscious"" by outcast",outcast,Artist
Songs like Gnaw by Alex G,gnaw,WoA
Songs like Gnaw by Alex G,alex g,Artist
A beautiful suggestion would suffice.,,
Looking for anime OST,,
I’m looking for new songs/artists to listen to,,
Looking For A Very Specific Brand of Folk Music,,
L’indécis - Soulful chill remix,lindécis,Artist
L’indécis - Soulful chill remix,soulful,WoA
Looking for more music like this - I guess it's like...folksy musical metal?,,
Something weird,,
Music for a 1920s party,,
Similar relaxing tunes to post malone - psycho,post malone,Artist
Similar relaxing tunes to post malone - psycho,psycho,WoA
Any songs like milky chance - running ?,milky chance,Artist
Any songs like milky chance - running ?,running,WoA
"What are some good songs like this, with a similar use of trumpet and sax?",,
Music Like: Little Lion Man by Mumford & Sons.,little lion man,WoA
Music Like: Little Lion Man by Mumford & Sons.,mumford & sons,Artist
Hard rock suggests,,
Similar to 6 Underground by Sneaker Pimps?,6 underground,WoA
Similar to 6 Underground by Sneaker Pimps?,sneaker pimps,Artist
What are some other artists like Bishop Gunn?,bishop gunn,Artist
Songs that have the same feeling as This Must Be The Place (Naive Melody),this must be the place | naive melody,WoA
"not really caring much about sound, but are there any songs (lyrically) about being a hedonist, partying a lot, sleeping around, having ''fun'' but being sad deep down and depressed even though youre having ''fun'' ?",,
Looking for something to listen to like Westworld soundtrack,westworld,WoA
Gut-wrenching screaming over acoustic instrumentation?,,
"Songs that have that ""upbeat 90s hip-hop/R&B/pop"" feel?",,
Explosive tracks for HIIT,,
Songs similar to ‘Just my Imagination’ by the Temptations,just my imagination,WoA
Songs similar to ‘Just my Imagination’ by the Temptations,the temptations,Artist
"Something like M2U's Magnolia, without the dubstep",m2us,Artist
"Something like M2U's Magnolia, without the dubstep",magnolia,WoA
Songs with great orchestral or vocal elements.,,
I've had this song on repeat for the past week,,
I recently watched this film and really liked the soundtrack. More recommendations based on this genre? What genre is it?,,
I need sad songs,,
REQUEST: Songs like Perry Como's anema e core; Mediterranean love/sentimental music,perry comos,Artist
REQUEST: Songs like Perry Como's anema e core; Mediterranean love/sentimental music,anema e core,WoA
a song like this,,
"Noob here who loves 39, Drift Away, Hotel California - suggest me some songs and especially bands",hotel california,WoA
"Noob here who loves 39, Drift Away, Hotel California - suggest me some songs and especially bands",drift away,WoA
"Noob here who loves 39, Drift Away, Hotel California - suggest me some songs and especially bands",39,WoA
any songs that make you emotional?,,
Looking for music similar to Waves by the Bahamas,waves,WoA
Looking for music similar to Waves by the Bahamas,the bahamas,Artist
what this genre is called?,,
Like Daydreaming from A Moon Shaped Pool by Radiohead,a moon shaped pool,WoA
Like Daydreaming from A Moon Shaped Pool by Radiohead,radiohead,Artist
Like Daydreaming from A Moon Shaped Pool by Radiohead,daydreaming,WoA
Looking for love songs for girlfriend,,
"Female rap/grime/drill artists over the age of 30? Like Lady Leshurr, or Sa-Roc.",lady leshurr,Artist
"Female rap/grime/drill artists over the age of 30? Like Lady Leshurr, or Sa-Roc.",sa roc,Artist
Looking for more songs similar in concept to Yesterday by The Beatles,yesterday,WoA
Looking for more songs similar in concept to Yesterday by The Beatles,the beatles,Artist
"Looking for songs like the alternative ""Stranger"" from Skrillex",stranger,WoA
"Looking for songs like the alternative ""Stranger"" from Skrillex",skrillex,Artist
"Calming, non-ambient songs with natural elements",,
Songs that take advantage of 5.1 surround?,,
Seeking music with wierd & experiemental samples,,
Feel good music?,,
Solos like Slip away by Mad Season,slip away,WoA
Solos like Slip away by Mad Season,mad season,Artist
Songs with lyrics that are heavily open to interpretation,,
Any Music That's More Of An Emotional Outlet?,,
Similar to In This Moment or Pretty Reckless?,in this moment,Artist
Similar to In This Moment or Pretty Reckless?,pretty reckless,Artist
I´m looking for similar Songs to this one,,
"Looking for songs similar to ""She's Gone Away"" by NIN",shes gone away,WoA
"Looking for songs similar to ""She's Gone Away"" by NIN",nin,Artist
Bright sunny intense/complex music for a futuristic floating ocean city?,,
"I’m looking for a blend between metal and dnb, dubstep, trap, electronic etc.",,
Electronic featuring low hymn/chant similar to background in childish Gambinos Bonfire?,childish gambinos,Artist
Electronic featuring low hymn/chant similar to background in childish Gambinos Bonfire?,bonfire,WoA
Christian or fun ska?,,
"Songs where you're not sure if you should trust the artist's statement, like Black's Wonderful Life, Lou Reed's Perfect Day, and Coldplay's Don't Panic [""we live in a beautiful world""]",blacks,Artist
"Songs where you're not sure if you should trust the artist's statement, like Black's Wonderful Life, Lou Reed's Perfect Day, and Coldplay's Don't Panic [""we live in a beautiful world""]",lou reeds,Artist
"Songs where you're not sure if you should trust the artist's statement, like Black's Wonderful Life, Lou Reed's Perfect Day, and Coldplay's Don't Panic [""we live in a beautiful world""]",wonderful life,WoA
"Songs where you're not sure if you should trust the artist's statement, like Black's Wonderful Life, Lou Reed's Perfect Day, and Coldplay's Don't Panic [""we live in a beautiful world""]",perfect day,WoA
"Songs where you're not sure if you should trust the artist's statement, like Black's Wonderful Life, Lou Reed's Perfect Day, and Coldplay's Don't Panic [""we live in a beautiful world""]",coldplays,Artist
"Songs where you're not sure if you should trust the artist's statement, like Black's Wonderful Life, Lou Reed's Perfect Day, and Coldplay's Don't Panic [""we live in a beautiful world""]",dont panic | we live in a beautiful world,WoA
Don't know what to call this genre of music; what is it and what are some similar songs? :0,,
Looking for songs/genre with a similar beat to the end of nursery - bbno$,nursery,WoA
Looking for songs/genre with a similar beat to the end of nursery - bbno$,bbno$,Artist
Songs like “Say it ain’t so” by Weezer,say it aint so,WoA
Songs like “Say it ain’t so” by Weezer,weezer,Artist
Clean weight training playlist help,,
"Looking for songs like ""Yoe Mase - PTSD""",yoe mase,Artist
"Looking for songs like ""Yoe Mase - PTSD""",ptsd,WoA
Music like Morrissey and The Smiths,morrissey,Artist
Music like Morrissey and The Smiths,the smiths,Artist
Song similar to the first minute of ''bad guy'' by Billie Eilish?,bad guy,WoA
Song similar to the first minute of ''bad guy'' by Billie Eilish?,billie eilish,Artist
Seeking creepy traditional Japanese music,,
Bands like The Main Squeeze / Tauk,the main squeeze,Artist
Bands like The Main Squeeze / Tauk,tauk,Artist
Something like Roderick Porter - Baby,roderick porter,Artist
Something like Roderick Porter - Baby,baby,WoA
Something new from Hip-hop.,,
Songs that start slow and calm and then go fast and loud very quickly,,
Good happy montage/background music?,,
Please suggest me some songs to pass to the DJ for my Brothers wedding!,,
Music similar to Morphine/Robocobra Quartett [featuring elements like Saxophone/prominent Bass],morphine,Artist
Music similar to Morphine/Robocobra Quartett [featuring elements like Saxophone/prominent Bass],robocobra quartett,Artist
"Songs Similar to these couple House songs (Who loves the sun, Electricity, Stay)",who loves the sun,WoA
"Songs Similar to these couple House songs (Who loves the sun, Electricity, Stay)",electricity stay,WoA
Looking for electronic music with a 50's vibe.,,
Looking for ambient/hazy/dark/dreamy/psychedelic music,,
Albums that are similar to White Pony by Deftones or Devil and God Are Raging Inside Me by Brand New?,white pony,WoA
Albums that are similar to White Pony by Deftones or Devil and God Are Raging Inside Me by Brand New?,deftones,Artist
Albums that are similar to White Pony by Deftones or Devil and God Are Raging Inside Me by Brand New?,devil and god are raging inside me,WoA
Albums that are similar to White Pony by Deftones or Devil and God Are Raging Inside Me by Brand New?,brand new,Artist
Know any glitchy songs like virtual self - particle ants,particle ants,WoA
Know any glitchy songs like virtual self - particle ants,virtual self,Artist
Any chill psychedelic DnB like Photek,photek,Artist
"I'm looking for ambient, electronic, classical music",,
Looking for Afro esqu dance beats like this,,
Songs similar to The Brothers Bright's Awake O Sleeper,the brothers brights,Artist
Songs similar to The Brothers Bright's Awake O Sleeper,awake o sleeper,WoA
Something similar to of monsters and men,of monsters and men,Artist
I just want whatever you can suggest that sounds like this. I love it so much...,,
"give some songs with a similar style to this Blues rock/Funk rock song ""Who did you think I was.""",who did you think i was,WoA
Looking for music similar to this ‘Lost Boys’ Banger,lost boys,Artist
Anything similar to No Church in the Wild?,no church in the wild,WoA
"Im looking for nice, relaxing pop music like I LOVE YOU BABY",i love you baby,WoA
Looking For Chill Songs,,
Songs like Core by RL Grime,core,WoA
Songs like Core by RL Grime,rl grime,Artist
Songs similar to 16 by Highly Suspect?,highly suspect,Artist
Songs similar to 16 by Highly Suspect?,16,WoA
Looking for some funky inspiration...,,
Workout Hits 2020,,
Are there any progressive metal or post-metal bands with a female vocalist and mature/abstract lyrics?,,
"Songs like ""Devil Devil"" by MILCK or ""Prom Queen"" by Molly Kate Kestner",milck,Artist
"Songs like ""Devil Devil"" by MILCK or ""Prom Queen"" by Molly Kate Kestner",devil devil,WoA
"Songs like ""Devil Devil"" by MILCK or ""Prom Queen"" by Molly Kate Kestner",prom queen,WoA
"Songs like ""Devil Devil"" by MILCK or ""Prom Queen"" by Molly Kate Kestner",molly kate kestner,Artist
I need a 100th song,,
Music Similar to Capital Cities,capital cities,Artist
"Looking for something similar to the first 35 seconds of Help, I'm Alive by Metric",help im alive,WoA
"Looking for something similar to the first 35 seconds of Help, I'm Alive by Metric",metric,Artist
"Music similar to this ""You and me and Jack"" willing to give gold if I there are some good suggestions/ Mark Engel in general",you and me and jack,WoA
"Music similar to this ""You and me and Jack"" willing to give gold if I there are some good suggestions/ Mark Engel in general",mark engel,Artist
Music similar to Khaen - Whims?,khaen,Artist
Music similar to Khaen - Whims?,whims,WoA
Bands like Mindless Self Indulgence,mindless self indulgence,Artist
Gimme that RHCP “Give it Away” vibe I love so dearly,rhcp,Artist
Gimme that RHCP “Give it Away” vibe I love so dearly,give it away,WoA
Suitable music for wedding slideshow?,,
Music for damned souls with Work to Do and Miles to Go?,,
Forgot name of band,,
Favorite jazz trio with trumpet?,,
Looking for angry hostile passionate 90s rap,,
Songs similar to January by Verzache,january,WoA
Songs similar to January by Verzache,verzache,Artist
Indie anthems.,,
"Looking for female pop music, similar to Taylor Swift Reputation and maybe something like Dua Lipa",taylor swift,Artist
"Looking for female pop music, similar to Taylor Swift Reputation and maybe something like Dua Lipa",dua lipa,Artist
"Looking for female pop music, similar to Taylor Swift Reputation and maybe something like Dua Lipa",reputation,WoA
Looking for songs similar to this sound/vibe. Chill and carefree (indie?),,
Pop-punkish love songs that are soft.,,
Dark covers of songs,,
Want to expand my boundaries with new music,,
songs similar to Woodstock by Jon Bellion or The Less I Know The Better by Tame Impala?,woodstock,WoA
songs similar to Woodstock by Jon Bellion or The Less I Know The Better by Tame Impala?,jon bellion,Artist
songs similar to Woodstock by Jon Bellion or The Less I Know The Better by Tame Impala?,the less i know the better,WoA
songs similar to Woodstock by Jon Bellion or The Less I Know The Better by Tame Impala?,tame impala,Artist
music similar to this (especially around 1:13),,
"Excessively vulgar songs, pre-1960",,
Depression/suicide/death songs?,,
tell me what genre this is?,,
can you recommend musicians like FKA Twigs?,fka twigs,Artist
Any heavy metal recommendations?,,
MetallicA songs suggest ?,metallica,Artist
Songs/sounds like Drive By by Lil Peep,drive by,WoA
Songs/sounds like Drive By by Lil Peep,lil peep,Artist
Looking for Synth that has a sci-fi feel,,
If I like Willie Colon - La Murga - What Else Will I like?,willie colon,Artist
If I like Willie Colon - La Murga - What Else Will I like?,la murga,WoA
"Looking for songs that sound like ""Kiwi"" by Harry Styles",kiwi,WoA
"Looking for songs that sound like ""Kiwi"" by Harry Styles",harry styles,Artist
Similar song to Together-Martin Garrix and Let me feel-Nicky Romero&Vicetone,together,WoA
Similar song to Together-Martin Garrix and Let me feel-Nicky Romero&Vicetone,martin garrix,Artist
Similar song to Together-Martin Garrix and Let me feel-Nicky Romero&Vicetone,nicky romero,Artist
Similar song to Together-Martin Garrix and Let me feel-Nicky Romero&Vicetone,vicetone,Artist
Similar song to Together-Martin Garrix and Let me feel-Nicky Romero&Vicetone,let me feel,WoA
Is there a very specific genre for these songs other than Hip-Hop/Rap? Do you have any similar recommendations?,,
Looking for non-hip hop artists/albums/songs that give off a space-like vibe,,
Where can I find music that has deep swells like this?,,
"Songs similar to ""Don't Stay"" By X Ambassadors",x ambassadors,Artist
"Songs similar to ""Don't Stay"" By X Ambassadors",dont stay,WoA
Optimistic female vocals?,,
Songs similar to these? (Country),,
Songs that’ll give you a creativity boost,,
Looking for some songs similar to Elephant - Sebastian Wibe,elephant,WoA
Looking for some songs similar to Elephant - Sebastian Wibe,sebastian,Artist
Music Similar To Troy Baker?,troy baker,Artist
"Playlist dedicated to songs similar in feel and vibe than The Smiths, any suggestions? And what do you think?",the smiths,Artist
Suggestions for J. Cole,j cole,Artist
Pieces like this,,
Looking Songs That Feel Like This One,,
"im looking more hardstyle, drum & bass, gabber, acid house etc. like this",,
Any songs like this?,,
"heavy, funky and danceable electronic music",,
Something like the hives?,the hives,Artist
"Creepy manic (love) songs/stalker songs, etc.",,
Looking for some latin music,,
Good hip hop and R&B from the 90s and 00s?,,
Songs like Felix Cartal and Lights - Love Me,felix cartal,Artist
Songs like Felix Cartal and Lights - Love Me,lights,Artist
Songs like Felix Cartal and Lights - Love Me,love me,WoA
Songs about being in love with a girl you know is bad for you.,,
"Songs like ""Danse Macabre"" by the Oh Hellos?",the oh hellos,Artist
"Songs like ""Danse Macabre"" by the Oh Hellos?",danse macabre,WoA
Bands similar to Trudy and the Romance,trudy and the romance,Artist
"I'm looking for music worthy of a mystery. any good detective themes, similar to this? (Music only-no lyrics)",,
What are like sexy songs? ._.,,
Searching for Songs like Future’s “Mask Off”,futures,Artist
Searching for Songs like Future’s “Mask Off”,mask off,WoA
Looking for these kinds of songs.,,
Looking for pop/rock/power songs like this - Let 'Em Talk,let em talk,WoA
Help me find similar songs,,
Songs like the Mini Ladd's remix?,mini ladds,Artist
Gothic Metal?,,
" recommend me ""mixes"" of classical/r&b/soul with electronic (trance)",,
Chill psych pop,,
Looking for songs like these,,
"Something similar to the chill, ethereal and dark vibe of this song",,
I just need some stuff out of my comfort zone,,
"A song to play on the piano and sing along to, that also works without singing",,
A song similar to “a place only we know” female singer in blue dress playing a grand piano.,a place only we know,WoA
share music or artists similar to Kashiwa Daisuke?,kashiwa daisuke,Artist
Please Anything Like This,,
Similar to Chris Stapleton or First Aid Kit,chris stapleton,Artist
Similar to Chris Stapleton or First Aid Kit,first aid kit,Artist
Lunar Vacation!,lunar vacation,Artist
Songs like Muse - Plug In Baby,muse,Artist
Songs like Muse - Plug In Baby,plug in baby,WoA
Hello . I am looking for any song as a suggestion,,
Nepali songs,,
Looking for something similar to Snowy White - Midnight Blues,snowy white,Artist
Looking for something similar to Snowy White - Midnight Blues,midnight blues,WoA
Looking for English 'light rock' bands similar to KEYTALK and go!go!vanillas.,keytalk,Artist
Looking for English 'light rock' bands similar to KEYTALK and go!go!vanillas.,gogovanillas,Artist
"Looking for bands or artists like Lana del rey, the weeknd, joji and Hozier",lana del rey,Artist
"Looking for bands or artists like Lana del rey, the weeknd, joji and Hozier",the weeknd,Artist
"Looking for bands or artists like Lana del rey, the weeknd, joji and Hozier",joji,Artist
"Looking for bands or artists like Lana del rey, the weeknd, joji and Hozier",hozier,Artist
Songs with a vibe like Nevermind by Leonard Cohen?,nevermind,WoA
Songs with a vibe like Nevermind by Leonard Cohen?,leonard cohen,Artist
"RKS, Lewis Del Mar",lewis del mar,Artist
"RKS, Lewis Del Mar",rks,Artist
any bands with songs similar in style to Paris by the Chainsmokers?,paris,WoA
any bands with songs similar in style to Paris by the Chainsmokers?,the chainsmokers,Artist
Kinda looking for blues music similar to this album,,
Looking for synthwave music.,,
Looking for action spy/detective type music,,
Looking for newer rock/metal,,
Prog Metal like Seventh Son and Operation Mind Crime?,seventh son,WoA
Prog Metal like Seventh Son and Operation Mind Crime?,operation mind crime,Artist
similar soundz? maybe a little heavier.. long shot but really vibin Prayers,,
Help me to find this music genre,,
Love the drop in this song - Raven Link - Change (feat. Caver),raven link,Artist
Love the drop in this song - Raven Link - Change (feat. Caver),change,WoA
Love the drop in this song - Raven Link - Change (feat. Caver),caver,Artist
Music recommendations for a road trip,,
Similar songs???,,
"What style of music is this, and where can I find more like it?",,
Any Songs Similar??,,
Garage-y rock/punk artists or songs?,,
Songs similar to I see You by Kygo ft. Billy Raffoul?,i see you,WoA
Songs similar to I see You by Kygo ft. Billy Raffoul?,kygo,Artist
Songs similar to I see You by Kygo ft. Billy Raffoul?,billy raffoul,Artist
"new music if i like sufjan, beach house, radiohead, talking heads, car seat headrest, and the strokes?",sufjan,Artist
"new music if i like sufjan, beach house, radiohead, talking heads, car seat headrest, and the strokes?",beach house,Artist
"new music if i like sufjan, beach house, radiohead, talking heads, car seat headrest, and the strokes?",radiohead,Artist
"new music if i like sufjan, beach house, radiohead, talking heads, car seat headrest, and the strokes?",talking heads,Artist
"new music if i like sufjan, beach house, radiohead, talking heads, car seat headrest, and the strokes?",car seat headrest,Artist
"new music if i like sufjan, beach house, radiohead, talking heads, car seat headrest, and the strokes?",the strokes,Artist
Looking for something like Dragon's Dogma - Into Free ~Dangan~,dragons dogma,WoA
Looking for something like Dragon's Dogma - Into Free ~Dangan~,into free dangan,WoA
"More music like this, Depressing lyrics but a happy tone to it.",,
12 seconds of Gungor - I am Mountain,gungor,Artist
12 seconds of Gungor - I am Mountain,i am mountain,WoA
Searching for Epic songs with vocals ! Like STARLIGHT BRIGADE or RISE or LIVE TO WIN,starlight brigade,WoA
Searching for Epic songs with vocals ! Like STARLIGHT BRIGADE or RISE or LIVE TO WIN,live to win,WoA
Searching for Epic songs with vocals ! Like STARLIGHT BRIGADE or RISE or LIVE TO WIN,rise,WoA
"All dead, all dead - Queen",all dead all dead,WoA
"All dead, all dead - Queen",queen,Artist
Came across Dulce by Flofilz .. looking for similar vibes!,dulce,WoA
Came across Dulce by Flofilz .. looking for similar vibes!,flofilz,Artist
Looking for complex (lyrically or musically) high energy music.,,
Songs like Amour Plastique?,amour plastique,WoA
"Looking For music that has a pause before the drop, similar to ZHU&Nero-dreams",dreams,WoA
"Looking For music that has a pause before the drop, similar to ZHU&Nero-dreams",zhu,Artist
"Looking For music that has a pause before the drop, similar to ZHU&Nero-dreams",nero,Artist
Songs in same style as “Goodbye love” by car seat headrest,goodbye love,WoA
Songs in same style as “Goodbye love” by car seat headrest,car seat headrest,Artist
suggest any emo/punk bands like snowing or just friends?,just friends,Artist
suggest any emo/punk bands like snowing or just friends?,snowing,Artist
'Operatic glitch metal'. Anything like it?,,
"More songs like ""Act Your Age"" by Bliss n Eso? Specifically like the upbeat/lighthearted nature of the song - it's oddly motivating for me",bliss n eso,Artist
"More songs like ""Act Your Age"" by Bliss n Eso? Specifically like the upbeat/lighthearted nature of the song - it's oddly motivating for me",act your age,WoA
Music for going through a breakup,,
Song like glisten (interlude) Jeremy zucker,glisten interlude,WoA
Song like glisten (interlude) Jeremy zucker,jeremy zucker,Artist
Looking for some clean music suggestions for a playlist at the salon I work at,,
Rock / Indie / Psychedelic Songs with good but whiny vocals?,,
Help me find music like this,,
Dreamy music (Less Reverb on Vocals),,
Just realized I liked EDM + Girl vocals. Any suggestions?,,
Army choir with hip hop sample? I beg you to find more of this.,,
"Unrelenting energy like Rev Theory's ""Hell Yeah'",rev theorys,Artist
"Unrelenting energy like Rev Theory's ""Hell Yeah'",hell yeah,WoA
Songs like this one great for MDMA?,,
I’m looking for new music,,
Albums like J Dilla's Donuts,j dillas,Artist
Albums like J Dilla's Donuts,donuts,WoA
Music similar to Glass Animals,glass animals,Artist
What is a song that you just can't get enough of?,,
"A couple of requests, Anything that sounds like rise against and some good modern punk that actually sounds different and not, ironically, really unoriginal",rise against,Artist
"Music suggestions of songs that capture a ""liminal space"" type of vibe?",,
Help with choir or church trap/dubstep?,,
Looking for vocal music with interesting text,,
Looking for things like dream koala that don't degenerate into a single sound for the length of the song,dream koala,Artist
Songs similar to Deer Creek Canyon by Sera Cahoone,deer creek canyon,WoA
Songs similar to Deer Creek Canyon by Sera Cahoone,sera cahoone,Artist
Anything that resembles Gunship and The Midnight?,gunship,Artist
Anything that resembles Gunship and The Midnight?,the midnight,Artist
"Looking for thick, dark jazz music like the 17:10 time in this video.",,
Folky/country songs like Fleetwood Mac - The Chain & Crosby Stills and Nash - Helplessly Hoping,fleetwood mac,Artist
Folky/country songs like Fleetwood Mac - The Chain & Crosby Stills and Nash - Helplessly Hoping,crosby stills and nash,Artist
Folky/country songs like Fleetwood Mac - The Chain & Crosby Stills and Nash - Helplessly Hoping,helplessly hoping,WoA
Folky/country songs like Fleetwood Mac - The Chain & Crosby Stills and Nash - Helplessly Hoping,the chain,WoA
[request] music with poetic/deeply meaningful lyrics,,
Country/Americana that touches on social issues or other topics you wouldn't expect?,,
Deep House Covers 2020 - Deep House 2020,,
Looking for songs with brass/trumpets?,,
new rapper,,
Music that sounds like Weezer's Pinkerton album.,weezers,Artist
Music that sounds like Weezer's Pinkerton album.,pinkerton,WoA
Songs to listen to when you're madly in love or euphoric about someone?,,
Garage rock like this? Having trouble.,,
"Something like ""Better Days"" by Desso?",desso,Artist
"Something like ""Better Days"" by Desso?",better days,WoA
Uniquely sang songs?,,
Looking for artists/songs with a similar style/vibe to Grandson’s stuff,grandsons,Artist
What are albums that sound Psychedelic/Jazzy like this?,,
Trying to find songs with sounds similar to these ones,,
"Electronic music with sax, violin, or other kind of instruments of this kind?",,
Stuff like Crywank?,crywank,Artist
Need music,,
